Selected GPU: 4
Using device: cuda:4
ACC ON: 3317977
ACC OFF: 5747608
Epoch 1/200 | Loss: 0.3965 | Acc: 0.6076 | Prec: 0.4814 | Recall: 0.9382 | F1: 0.6363
Epoch 2/200 | Loss: 0.3975 | Acc: 0.6039 | Prec: 0.4790 | Recall: 0.9417 | F1: 0.6350
Epoch 3/200 | Loss: 0.3975 | Acc: 0.6073 | Prec: 0.4812 | Recall: 0.9386 | F1: 0.6362
Epoch 4/200 | Loss: 0.3932 | Acc: 0.7497 | Prec: 0.6157 | Recall: 0.8403 | F1: 0.7107
Epoch 5/200 | Loss: 0.3411 | Acc: 0.7485 | Prec: 0.6059 | Recall: 0.8938 | F1: 0.7223
Epoch 6/200 | Loss: 0.3399 | Acc: 0.7355 | Prec: 0.5915 | Recall: 0.8958 | F1: 0.7125
Epoch 7/200 | Loss: 0.3395 | Acc: 0.7515 | Prec: 0.6101 | Recall: 0.8881 | F1: 0.7234
Epoch 8/200 | Loss: 0.3398 | Acc: 0.7541 | Prec: 0.6144 | Recall: 0.8805 | F1: 0.7237
Epoch 9/200 | Loss: 0.3399 | Acc: 0.7523 | Prec: 0.6112 | Recall: 0.8877 | F1: 0.7240
Epoch 10/200 | Loss: 0.3397 | Acc: 0.7530 | Prec: 0.6130 | Recall: 0.8808 | F1: 0.7229
Epoch 11/200 | Loss: 0.3400 | Acc: 0.7534 | Prec: 0.6129 | Recall: 0.8848 | F1: 0.7242
Epoch 12/200 | Loss: 0.3393 | Acc: 0.7668 | Prec: 0.6330 | Recall: 0.8630 | F1: 0.7303
Epoch 13/200 | Loss: 0.3394 | Acc: 0.7325 | Prec: 0.5879 | Recall: 0.8983 | F1: 0.7107
Epoch 14/200 | Loss: 0.3388 | Acc: 0.7527 | Prec: 0.6117 | Recall: 0.8870 | F1: 0.7241
Epoch 15/200 | Loss: 0.3393 | Acc: 0.7572 | Prec: 0.6186 | Recall: 0.8774 | F1: 0.7256
Epoch 16/200 | Loss: 0.3388 | Acc: 0.7488 | Prec: 0.6063 | Recall: 0.8936 | F1: 0.7224
Epoch 17/200 | Loss: 0.3390 | Acc: 0.7529 | Prec: 0.6123 | Recall: 0.8852 | F1: 0.7239
Epoch 18/200 | Loss: 0.3387 | Acc: 0.7535 | Prec: 0.6132 | Recall: 0.8835 | F1: 0.7240
Epoch 19/200 | Loss: 0.3391 | Acc: 0.7517 | Prec: 0.6103 | Recall: 0.8894 | F1: 0.7239
Epoch 20/200 | Loss: 0.3388 | Acc: 0.7524 | Prec: 0.6115 | Recall: 0.8870 | F1: 0.7239
